,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
51,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,14,1320,街镇,,104,28,55,34,107,103,163,97,144,104,78,,7,20,13275,370116,莱芜区,杨庄镇,杨庄镇,/Date(1603706400000+0800)/
52,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,844,街镇,,94,29,58,38,121,101,161,94,138,73,53,,11,31,13276,370116,莱芜区,大王庄镇,大王庄镇,/Date(1603706400000+0800)/
53,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1602,街镇,,93,44,88,22,69,99,158,77,103,93,69,,5,15,13277,370116,莱芜区,和庄镇,和庄镇,/Date(1603706400000+0800)/
54,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1061,街镇,,101,25,50,29,92,99,158,101,152,100,75,,5,13,13278,370116,莱芜区,羊里街道办事处,羊里街道办事处,/Date(1603706400000+0800)/
55,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,23,2211,街镇,,117,87,174,3,8,87,144,101,151,117,88,,5,13,15040,370102,历下区,解放路街道办事处,解放路街道办事处,/Date(1603706400000+0800)/
56,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1019,街镇,,95,30,59,42,134,114,175,80,110,95,71,,5,14,15041,370102,历下区,千佛山街道办事处,千佛山街道办事处,/Date(1603706400000+0800)/
57,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,21,2071,街镇,,122,92,184,3,8,99,158,111,171,122,92,,6,16,15042,370102,历下区,泉城路街道办事处,泉城路街道办事处,/Date(1603706400000+0800)/
58,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,23,2242,街镇,,117,89,178,4,11,98,157,100,149,117,88,,4,12,15043,370102,历下区,文化东路街道办事处,文化东路街道办事处,/Date(1603706400000+0800)/
59,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,街镇,,0,,,,,,,,,,,,,,15044,370102,历下区,智远街道办事处,智远街道办事处,/Date(1603706400000+0800)/
60,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1610,街镇,,117,91,181,5,15,93,151,109,168,117,88,,5,15,15045,370102,历下区,大明湖街道办事处,大明湖街道办事处,/Date(1603706400000+0800)/
