,Area_code,Area_name,Enterprise_name,Latitude,Longitude,Pname,Stcode,Stname,Substation_id
118,370117,钢城区,辛庄街道办事处,36.20141233,117.80255987,辛庄街道办事处,370117,钢城区,13273
119,370117,钢城区,汶源街道办事处,36.0765192,117.87489782,汶源街道办事处,370117,钢城区,13274
120,370118,先行区,大桥街道办事处,36.77041,116.9696,大桥街道办事处,370118,先行区,15098
121,370118,先行区,孙耿街道办事处,36.90195,117.011479,孙耿街道办事处,370118,先行区,15146
122,370118,先行区,崔寨街道办事处,36.872393,117.085535,崔寨街道办事处,370118,先行区,15147
123,370118,先行区,太平街道办事处,36.980995,116.971105,太平街道办事处,370118,先行区,15148
124,370119,莱芜高新区,新一中,36.250722,117.735347,新一中,370119,莱芜高新区,12151
125,370119,莱芜高新区,泰兴公司,36.21107997,117.72847739,泰兴公司,370119,莱芜高新区,12154
126,370124,平阴县,淮海御墅,36.299651,116.487185,淮海御墅,370124,平阴县,12578
127,370124,平阴县,平阴城区,36.298498,116.475003,平阴城区,370124,平阴县,12579
128,370124,平阴县,锦水街道办事处,36.296058,116.4405,锦水街道办事处,370124,平阴县,15140
129,370124,平阴县,玫瑰镇,36.239237,116.385925,玫瑰镇,370124,平阴县,15141
130,370124,平阴县,东阿镇,36.17918962,116.29179533,东阿镇,370124,平阴县,15142
131,370124,平阴县,洪范池镇,36.109272,116.29794,洪范池镇,370124,平阴县,15143
132,370124,平阴县,孔村镇,36.182192,116.477229,孔村镇,370124,平阴县,15144
133,370124,平阴县,孝直镇,36.11785649,116.45013565,孝直镇,370124,平阴县,15145
134,370125,济阳区,济阳城区,36.9829,117.2181,济阳城区,370125,济阳区,12574
135,370125,济阳区,济阳区政府,36.98412759,117.18022474,济阳区政府,370125,济阳区,12575
136,370125,济阳区,垛石街道办事处,37.058997,117.100616,垛石街道办事处,370125,济阳区,15149
137,370125,济阳区,新市镇,37.087917,117.021971,新市镇,370125,济阳区,15150
138,370125,济阳区,曲堤街道办事处,37.10673,117.280177,曲堤街道办事处,370125,济阳区,15151
139,370125,济阳区,仁风镇,37.17022035,117.37130573,仁风镇,370125,济阳区,15152
140,370125,济阳区,回河街道办事处,36.962346,117.112955,回河街道办事处,370125,济阳区,16500
141,370126,商河县,商河城区,37.321944,117.17,商河城区,370126,商河县,12576
